Category,Term,Count,X.,PValue,Genes,List.Total,Pop.Hits,Pop.Total,Fold.Enrichment,Bonferroni,Benjamini,FDR
SP_PIR_KEYWORDS,cytoplasm,4,50,0.06719655530615179,ENSMUSG00000028644;ENSMUSG00000028811;ENSMUSG00000020029;ENSMUSG00000027257,7,3004,17497,3.3283241392429144,0.9060569187124585,0.9060569187124585,45.75842015794361
GOTERM_MF_FAT,GO:0042803~protein homodimerization activity,2,25,0.08589199986925058,ENSMUSG00000004937;ENSMUSG00000026024,7, 191,12859,19.235602094240836,0.9954306903483513,0.9954306903483513,59.343475684099566
SP_PIR_KEYWORDS,ligase,2,25,0.09479691706489038,ENSMUSG00000028811;ENSMUSG00000031751,7, 288,17497,17.35813492063492,0.9661651052634647,0.8160573602001554,58.34938392489186
